ID;Highly_Unsaturated_and_Phenolic_HighOC_(#);Highly_Unsaturated_and_Phenolic_LowOC_(#);Peptide_like_(#);Polyphenolic_HighOC_(#);Polyphenolic_LowOC_(#);Sugars_w_X_(#);Num.formula_(%);Condensed_aromatics.X_(%);Highly_Unsaturated_and_Phenolic_HighOC_(%);Highly_Unsaturated_and_Phenolic_LowOC_(%);Peptide_like_(%);Polyphenolic_HighOC_(%);Polyphenolic_LowOC_(%);Sugars_w_X_(%);CHON_(#);AveMass;Mass_WeightedAve;HC_WeightedAve;OC_WeightedAve;NC_WeightedAve;NOSC_WeightedAve;AImod_WeightedAve;AI_WeightedAve;Condensed_aromatics.X_(%RA);Highly_Unsaturated_and_Phenolic_HighOC_(%RA);Highly_Unsaturated_and_Phenolic_LowOC_(%RA);Peptide_like_(%RA);Polyphenolic_HighOC_(%RA);Polyphenolic_LowOC_(%RA);Sugars_w_X_(%RA);Polyphenolic_(%RA);Highly_Unsaturated_and_Phenolic_(%RA)
M7T4;136;104;12;4;2;0;258;0;52.7131782945737;40.3100775193798;4.65116279069767;1.55038759689922;0.775193798449612;0;258;449.157388170543;424.66499849759;1.18417480070573;0.535917332786614;0.0541824271528216;0.0502071463261061;0.245326890810741;0.0134742045854728;0;67.4035240574696;30.7885955518344;1.300104998585;0.318775440425328;0.188999951685609;0;0.507775392110937;98.1921196093041
M2T4;331;259;35;7;8;0;640;0;51.71875;40.46875;5.46875;1.09375;1.25;0;640;450.752152079688;421.026454090775;1.19359500751211;0.526284827107448;0.0545171992396308;0.0225262444217021;0.245260101342161;0.0185117552711051;0;65.047358661669;32.0233547246459;2.31829618266901;0.280989636717331;0.330000794298716;0;0.610990431016047;97.0707133863149
M4T0;338;246;27;12;10;0;633;0;53.3965244865719;38.8625592417062;4.2654028436019;1.8957345971564;1.57977883096366;0;633;449.892795827804;417.288759553474;1.18518759832841;0.531264041726953;0.0551781857189566;0.0428750422824017;0.248016898718954;0.0163201209883613;0;65.7268173794085;32.0657426382355;1.33869646110129;0.449202233865856;0.419541287388881;0;0.868743521254737;97.792560017644
M1T20;374;221;24;8;4;0;631;0;59.270998415214;35.0237717908082;3.80348652931854;1.26782884310618;0.63391442155309;0;631;476.681178526149;435.152992005728;1.18396983968868;0.544148260896235;0.0534294919419375;0.0646151579296268;0.240003237701398;0.0105082500012353;0;72.1355644769032;26.2305779183882;1.16555391024513;0.322702603088196;0.145601091375266;0;0.468303694463462;98.3661423952914
M4T7;52;39;3;2;0;0;96;0;54.1666666666667;40.625;3.125;2.08333333333333;0;0;96;471.07836371875;452.421026211608;1.17545299216062;0.562964876374446;0.0511786251249554;0.104012635963275;0.233808184408209;0.00510763588591337;0;79.3310919968108;19.6479275481516;0.654953138653192;0.366027316384368;0;0;0.366027316384368;98.9790195449625
M5T0;318;231;21;7;2;0;579;0;54.9222797927461;39.8963730569948;3.62694300518135;1.20898100172712;0.345423143350604;0;579;470.172609131261;433.347177668844;1.1924852864323;0.533653781481363;0.0531783345891808;0.0343572802979965;0.239361129176899;0.011236563386968;0;68.1815139143649;30.2603342413775;1.16153526899919;0.302615271846971;0.0940013034114384;0;0.39661657525841;98.4418481557424
M6T0;380;274;35;8;7;0;704;0;53.9772727272727;38.9204545454545;4.97159090909091;1.13636363636364;0.994318181818182;0;704;464.67094821733;423.756864726442;1.19708129374288;0.525358146466047;0.0543195356111144;0.0165936060226014;0.241700484266057;0.0158585282725277;0;63.4207994989272;34.2708952581448;1.71775331282166;0.283972981514167;0.306578948592254;0;0.590551930106421;97.6916947570719
M3T7;259;210;23;4;4;0;500;0;51.8;42;4.6;0.8;0.8;0;500;454.68564724;423.362002577337;1.18908689995559;0.53036444875717;0.0541042170857492;0.0339546488160711;0.244732725875662;0.0122346050322701;0;67.2850907274056;31.1043867453136;1.24147496251132;0.200883476404264;0.168164088365183;0;0.369047564769447;98.3894774727192
M8T7;315;265;28;6;8;0;622;0;50.6430868167203;42.604501607717;4.5016077170418;0.964630225080386;1.28617363344051;0;622;454.100466763666;421.606723376209;1.19466135474574;0.517492479840921;0.0541111788803189;0.00265714157709732;0.247493438298524;0.017777307433815;0;60.9077731130293;36.9763565888647;1.49801499162331;0.237661058828056;0.38019424765472;0;0.617855306482776;97.8841297018939
M2T0;338;259;29;8;8;0;642;0;52.6479750778816;40.3426791277259;4.51713395638629;1.24610591900312;1.24610591900312;0;642;453.154400080997;418.171360560139;1.18872488938281;0.528440668762479;0.0549892946219241;0.033124332007959;0.246735681537832;0.0161555108138602;0;64.761327953819;33.2065989777544;1.35339471755638;0.304830911288168;0.373847439582113;0;0.678678350870281;97.9679269315733
M8T4;321;219;24;6;3;0;573;0;56.020942408377;38.2198952879581;4.18848167539267;1.04712041884817;0.523560209424084;0;573;465.26637961082;429.748482300407;1.18842104315499;0.538865215933147;0.0537903576396627;0.050680461630318;0.240135854500824;0.0109728617654976;0;70.2817694254624;28.0911145226571;1.25719433212388;0.263143427700297;0.106778292056319;0;0.369921719756616;98.3728839481195
M7T20;264;199;22;6;3;0;494;0;53.4412955465587;40.2834008097166;4.45344129554656;1.21457489878543;0.607287449392713;0;494;451.775154186235;422.080891882866;1.18696029166778;0.537451788331156;0.0545512723276024;0.0515971019774053;0.242777619518894;0.0112859880470203;0;69.9180503326461;28.5048418291913;1.18520819384477;0.276398178266567;0.115501466051245;0;0.391899644317812;98.4228921618374
